iter	Passed	Remaining
882	10043	1330
883	10054	1319
884	10065	1307
885	10077	1296
886	10088	1285
887	10101	1274
888	10112	1262
889	10124	1251
890	10136	1239
891	10147	1228
892	10159	1217
893	10171	1206
894	10183	1194
895	10196	1183
896	10208	1172
897	10220	1160
898	10231	1149
899	10242	1138
900	10252	1126
901	10263	1115
902	10274	1103
903	10284	1092
904	10295	1080
905	10306	1069
906	10316	1057
907	10326	1046
908	10335	1034
909	10346	1023
910	10356	1011
911	10367	1000
912	10376	988
913	10387	977
914	10398	965
915	10409	954
916	10420	943
917	10430	931
918	10441	920
919	10451	908
920	10461	897
921	10471	885
922	10482	874
923	10492	863
924	10502	851
925	10513	840
926	10524	828
927	10534	817
928	10544	805
929	10555	794
930	10565	783
931	10575	771
932	10586	760
933	10596	748
934	10606	737
935	10617	726
936	10628	714
937	10638	703
938	10648	691
939	10660	680
940	10669	668
941	10679	657
942	10689	646
943	10699	634
944	10709	623
945	10720	611
946	10731	600
947	10741	589
948	10752	577
949	10763	566
950	10773	555
951	10784	543
952	10796	532
953	10808	521
954	10819	509
955	10829	498
956	10840	487
957	10850	475
958	10860	464
959	10870	452
960	10880	441
961	10891	430
962	10900	418
963	10910	407
964	10921	396
965	10931	384
966	10942	373
967	10953	362
968	10963	350
969	10973	339
970	10983	328
971	10994	316
972	11004	305
973	11015	294
974	11026	282
975	11037	271
976	11048	260
977	11060	248
978	11070	237
979	11080	226
980	11090	214
981	11101	203
982	11111	192
983	11121	180
984	11132	169
985	11142	158
986	11153	146
987	11164	135
988	11174	124
989	11185	112
990	11195	101
991	11206	90
992	11217	79
993	11227	67
994	11238	56
995	11249	45
996	11260	33
997	11271	22
998	11282	11
999	11293	0
